i,t,capcost,fom,vom,heatrate
fuel-cell,2010,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2011,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2012,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2013,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2014,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2015,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2016,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2017,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2018,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2019,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2020,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2021,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2022,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2023,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2024,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2025,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2026,918.1642866,28.68353047,1.630897862,6.408
fuel-cell,2027,916.0652993,28.65204566,1.630897862,6.408
fuel-cell,2028,914.3108108,28.62572833,1.630897862,6.408
fuel-cell,2029,912.4097131,28.59721187,1.630897862,6.408
fuel-cell,2030,910.4949247,28.56849004,1.630897862,6.408
fuel-cell,2031,908.4521282,28.53784809,1.630897862,6.408
fuel-cell,2032,901.5040531,28.43362697,1.630897862,6.408
fuel-cell,2033,892.6305467,28.30052437,1.630897862,6.408
fuel-cell,2034,880.7143892,28.12178201,1.630897862,6.408
fuel-cell,2035,866.7035211,27.91161899,1.630897862,6.408
fuel-cell,2036,853.3164212,27.71081249,1.630897862,6.408
fuel-cell,2037,840.5495979,27.51931014,1.630897862,6.408
fuel-cell,2038,827.9929428,27.33096031,1.630897862,6.408
fuel-cell,2039,816.0712563,27.15213501,1.630897862,6.408
fuel-cell,2040,804.9292822,26.9850054,1.630897862,6.408
fuel-cell,2041,794.3834653,26.82681815,1.630897862,6.408
fuel-cell,2042,784.4134351,26.6772677,1.630897862,6.408
fuel-cell,2043,774.990113,26.53591787,1.630897862,6.408
fuel-cell,2044,765.9083154,26.3996909,1.630897862,6.408
fuel-cell,2045,757.1968698,26.26901922,1.630897862,6.408
fuel-cell,2046,748.4835824,26.13831991,1.630897862,6.408
fuel-cell,2047,740.672808,26.02115829,1.630897862,6.408
fuel-cell,2048,733.5125623,25.9137546,1.630897862,6.408
fuel-cell,2049,726.7310799,25.81203237,1.630897862,6.408
fuel-cell,2050,719.8253345,25.70844619,1.630897862,6.408
