i,t,capcost,fom,vom,heatrate
fuel-cell,2010,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2011,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2012,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2013,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2014,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2015,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2016,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2017,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2018,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2019,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2020,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2021,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2022,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2023,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2024,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2025,919.6454506,28.70574793,1.630897862,6.408
fuel-cell,2026,915.859192,28.64895405,1.630897862,6.408
fuel-cell,2027,904.5001812,28.47856889,1.630897862,6.408
fuel-cell,2028,889.6586174,28.25594543,1.630897862,6.408
fuel-cell,2029,869.1065157,27.94766391,1.630897862,6.408
fuel-cell,2030,842.3550269,27.54639157,1.630897862,6.408
fuel-cell,2031,766.3650485,26.4065419,1.630897862,6.408
fuel-cell,2032,727.3438187,25.82122345,1.630897862,6.408
fuel-cell,2033,701.2480448,25.42978684,1.630897862,6.408
fuel-cell,2034,688.67845,25.24124292,1.630897862,6.408
fuel-cell,2035,675.6024547,25.04510299,1.630897862,6.408
fuel-cell,2036,668.7077471,24.94168238,1.630897862,6.408
fuel-cell,2037,662.4940523,24.84847695,1.630897862,6.408
fuel-cell,2038,656.6754748,24.76119829,1.630897862,6.408
fuel-cell,2039,651.4535379,24.68286924,1.630897862,6.408
fuel-cell,2040,646.6770105,24.61122133,1.630897862,6.408
fuel-cell,2041,641.990985,24.54093095,1.630897862,6.408
fuel-cell,2042,637.5771946,24.47472409,1.630897862,6.408
fuel-cell,2043,633.5187893,24.41384801,1.630897862,6.408
fuel-cell,2044,629.6506945,24.35582659,1.630897862,6.408
fuel-cell,2045,626.0021986,24.30109915,1.630897862,6.408
fuel-cell,2046,622.8956959,24.25450161,1.630897862,6.408
fuel-cell,2047,620.1846206,24.21383548,1.630897862,6.408
fuel-cell,2048,617.6776503,24.17623092,1.630897862,6.408
fuel-cell,2049,615.2806569,24.14027602,1.630897862,6.408
fuel-cell,2050,612.9436066,24.10522027,1.630897862,6.408
